x, y, z, porePressure
   23.500,     9.113,     0.000,    737107.31
   23.500,     9.500,     0.000,    733307.94
   23.500,     9.887,     0.000,    729508.56
   23.113,     9.113,     0.000,    737107.31
   23.113,     9.500,     0.000,    733307.94
   23.113,     9.887,     0.000,    729508.56
   23.887,    10.113,     0.000,    727297.31
   23.887,    10.500,     0.000,    723497.94
   23.887,    10.887,     0.000,    719698.56
   23.500,    10.113,     0.000,    727297.31
   23.500,    10.500,     0.000,    723497.94
   23.500,    10.887,     0.000,    719698.56
   23.113,    10.113,     0.000,    727297.31
   23.113,    10.500,     0.000,    723497.94
   23.113,    10.887,     0.000,    719698.56
   23.887,    11.113,     0.000,    717487.31
   23.887,    11.500,     0.000,    713687.94
   23.887,    11.887,     0.000,    709888.56
   23.500,    11.113,     0.000,    717487.31
   23.500,    11.500,     0.000,    713687.94
   23.500,    11.887,     0.000,    709888.56
   23.113,    11.113,     0.000,    717487.31
   23.113,    11.500,     0.000,    713687.94
   23.113,    11.887,     0.000,    709888.56
   23.887,    12.113,     0.000,    707677.31
   23.887,    12.500,     0.000,    703877.94
   23.887,    12.887,     0.000,    700078.56
   23.500,    12.113,     0.000,    707677.31
   23.500,    12.500,     0.000,    703877.94
   23.500,    12.887,     0.000,    700078.56
   23.113,    12.113,     0.000,    707677.31
   23.113,    12.500,     0.000,    703877.94
   23.113,    12.887,     0.000,    700078.56
   23.887,    13.113,     0.000,    697867.31
   23.887,    13.500,     0.000,    694067.94
   23.887,    13.887,     0.000,    690268.56
   23.500,    13.113,     0.000,    697867.31
   23.500,    13.500,     0.000,    694067.94
   23.500,    13.887,     0.000,    690268.56
   23.113,    13.113,     0.000,    697867.31
   23.113,    13.500,     0.000,    694067.94
   23.113,    13.887,     0.000,    690268.56
   23.887,    14.113,     0.000,    688057.31
   23.887,    14.500,     0.000,    684257.94
   23.887,    14.887,     0.000,    680458.56
   23.500,    14.113,     0.000,    688057.31
   23.500,    14.500,     0.000,    684257.94
   23.500,    14.887,     0.000,    680458.56
   23.113,    14.113,     0.000,    688057.31
   23.113,    14.500,     0.000,    684257.94
   23.113,    14.887,     0.000,    680458.56
   23.887,    15.113,     0.000,    678247.31
   23.887,    15.500,     0.000,    674447.94
   23.887,    15.887,     0.000,    670648.56
   23.500,    15.113,     0.000,    678247.31
   23.500,    15.500,     0.000,    674447.94
   23.500,    15.887,     0.000,    670648.56
   23.113,    15.113,     0.000,    678247.31
   23.113,    15.500,     0.000,    674447.94
   23.113,    15.887,     0.000,    670648.56
   23.887,    16.113,     0.000,    668437.31
   23.887,    16.500,     0.000,    664637.94
   23.887,    16.887,     0.000,    660838.56
   23.500,    16.113,     0.000,    668437.31
   23.500,    16.500,     0.000,    664637.94
   23.500,    16.887,     0.000,    660838.56
   23.113,    16.113,     0.000,    668437.31
   23.113,    16.500,     0.000,    664637.94
   23.113,    16.887,     0.000,    660838.56
   23.887,    17.113,     0.000,    658627.31
   23.887,    17.500,     0.000,    654827.94
   23.887,    17.887,     0.000,    651028.56
   23.500,    17.113,     0.000,    658627.31
   23.500,    17.500,     0.000,    654827.94
   23.500,    17.887,     0.000,    651028.56
   23.113,    17.113,     0.000,    658627.31
   23.113,    17.500,     0.000,    654827.94
   23.113,    17.887,     0.000,    651028.56
   23.887,    18.113,     0.000,    648817.31
   23.887,    18.500,     0.000,    645017.94
   23.887,    18.887,     0.000,    641218.56
   23.500,    18.113,     0.000,    648817.31
   23.500,    18.500,     0.000,    645017.94
   23.500,    18.887,     0.000,    641218.56
   23.113,    18.113,     0.000,    648817.31
   23.113,    18.500,     0.000,    645017.94
   23.113,    18.887,     0.000,    641218.56
   23.887,    19.113,     0.000,    639007.31
   23.887,    19.500,     0.000,    635207.94
   23.887,    19.887,     0.000,    631408.56
   23.500,    19.113,     0.000,    639007.31
   23.500,    19.500,     0.000,    635207.94
   23.500,    19.887,     0.000,    631408.56
   23.113,    19.113,     0.000,    639007.31
   23.113,    19.500,     0.000,    635207.94
   23.113,    19.887,     0.000,    631408.56
   23.887,    20.113,     0.000,    629197.31
   23.887,    20.500,     0.000,    625397.94
   23.887,    20.887,     0.000,    621598.56
   23.500,    20.113,     0.000,    629197.31
   23.500,    20.500,     0.000,    625397.94
   23.500,    20.887,     0.000,    621598.56
   23.113,    20.113,     0.000,    629197.31
   23.113,    20.500,     0.000,    625397.94
   23.113,    20.887,     0.000,    621598.56
   23.887,    21.113,     0.000,    619387.31
   23.887,    21.500,     0.000,    615587.94
   23.887,    21.887,     0.000,    611788.56
   23.500,    21.113,     0.000,    619387.31
   23.500,    21.500,     0.000,    615587.94
   23.500,    21.887,     0.000,    611788.56
   23.113,    21.113,     0.000,    619387.31
   23.113,    21.500,     0.000,    615587.94
   23.113,    21.887,     0.000,    611788.56
   23.887,    22.113,     0.000,    609577.31
   23.887,    22.500,     0.000,    605777.94
   23.887,    22.887,     0.000,    601978.56
   23.500,    22.113,     0.000,    609577.31
   23.500,    22.500,     0.000,    605777.94
   23.500,    22.887,     0.000,    601978.56
   23.113,    22.113,     0.000,    609577.31
   23.113,    22.500,     0.000,    605777.94
   23.113,    22.887,     0.000,    601978.56
   23.887,    23.113,     0.000,    599767.31
   23.887,    23.500,     0.000,    595967.94
   23.887,    23.887,     0.000,    592168.56
   23.500,    23.113,     0.000,    599767.31
   23.500,    23.500,     0.000,    595967.94
   23.500,    23.887,     0.000,    592168.56
   23.113,    23.113,     0.000,    599767.31
   23.113,    23.500,     0.000,    595967.94
   23.113,    23.887,     0.000,    592168.56
   23.887,    24.113,     0.000,    589957.31
   23.887,    24.500,     0.000,    586157.94
   23.887,    24.887,     0.000,    582358.56
   23.500,    24.113,     0.000,    589957.31
   23.500,    24.500,     0.000,    586157.94
   23.500,    24.887,     0.000,    582358.56
   23.113,    24.113,     0.000,    589957.31
   23.113,    24.500,     0.000,    586157.94
   23.113,    24.887,     0.000,    582358.56
   22.887,     0.113,     0.000,    825397.31
   22.887,     0.500,     0.000,    821597.94
   22.887,     0.887,     0.000,    817798.56
   22.500,     0.113,     0.000,    825397.31
   22.500,     0.500,     0.000,    821597.94
   22.500,     0.887,     0.000,    817798.56
   22.113,     0.113,     0.000,    825397.31
   22.113,     0.500,     0.000,    821597.94
   22.113,     0.887,     0.000,    817798.56
   22.887,     1.113,     0.000,    815587.31
   22.887,     1.500,     0.000,    811787.94
   22.887,     1.887,     0.000,    807988.56
   22.500,     1.113,     0.000,    815587.31
   22.500,     1.500,     0.000,    811787.94
   22.500,     1.887,     0.000,    807988.56
   22.113,     1.113,     0.000,    815587.31
   22.113,     1.500,     0.000,    811787.94
   22.113,     1.887,     0.000,    807988.56
   22.887,     2.113,     0.000,    805777.31
   22.887,     2.500,     0.000,    801977.94
   22.887,     2.887,     0.000,    798178.56
   22.500,     2.113,     0.000,    805777.31
   22.500,     2.500,     0.000,    801977.94
   22.500,     2.887,     0.000,    798178.56
   22.113,     2.113,     0.000,    805777.31
   22.113,     2.500,     0.000,    801977.94
   22.113,     2.887,     0.000,    798178.56
   22.887,     3.113,     0.000,    795967.31
   22.887,     3.500,     0.000,    792167.94
   22.887,     3.887,     0.000,    788368.56
   22.500,     3.113,     0.000,    795967.31
   22.500,     3.500,     0.000,    792167.94
   22.500,     3.887,     0.000,    788368.56
   22.113,     3.113,     0.000,    795967.31
   22.113,     3.500,     0.000,    792167.94
   22.113,     3.887,     0.000,    788368.56
   22.887,     4.113,     0.000,    786157.31
   22.887,     4.500,     0.000,    782357.94
   22.887,     4.887,     0.000,    778558.56
