x, y, z, voidRatio
   23.500,     2.500,     0.000, 0.2900081
   23.500,     2.887,     0.000, 0.2914256
   23.113,     2.113,     0.000, 0.2885937
   23.113,     2.500,     0.000, 0.2900081
   23.113,     2.887,     0.000, 0.2914256
   23.887,     3.113,     0.000, 0.2921353
   23.887,     3.500,     0.000, 0.2931559
   23.887,     3.887,     0.000, 0.2941782
   23.500,     3.113,     0.000, 0.2921353
   23.500,     3.500,     0.000, 0.2931559
   23.500,     3.887,     0.000, 0.2941782
   23.113,     3.113,     0.000, 0.2921353
   23.113,     3.500,     0.000, 0.2931559
   23.113,     3.887,     0.000, 0.2941782
   23.887,     4.113,     0.000, 0.2946849
   23.887,     4.500,     0.000, 0.2954034
   23.887,     4.887,     0.000, 0.2961226
   23.500,     4.113,     0.000, 0.2946849
   23.500,     4.500,     0.000, 0.2954034
   23.500,     4.887,     0.000, 0.2961226
   23.113,     4.113,     0.000, 0.2946849
   23.113,     4.500,     0.000, 0.2954034
   23.113,     4.887,     0.000, 0.2961226
   23.887,     5.113,     0.000, 0.2964758
   23.887,     5.500,     0.000, 0.2969698
   23.887,     5.887,     0.000, 0.2974642
   23.500,     5.113,     0.000, 0.2964758
   23.500,     5.500,     0.000, 0.2969698
   23.500,     5.887,     0.000, 0.2974642
   23.113,     5.113,     0.000, 0.2964758
   23.113,     5.500,     0.000, 0.2969698
   23.113,     5.887,     0.000, 0.2974642
   23.887,     6.113,     0.000, 0.2977047
   23.887,     6.500,     0.000, 0.2980368
   23.887,     6.887,     0.000, 0.2983691
   23.500,     6.113,     0.000, 0.2977047
   23.500,     6.500,     0.000, 0.2980368
   23.500,     6.887,     0.000, 0.2983691
   23.113,     6.113,     0.000, 0.2977047
   23.113,     6.500,     0.000, 0.2980368
   23.113,     6.887,     0.000, 0.2983691
   23.887,     7.113,     0.000, 0.2985295
   23.887,     7.500,     0.000, 0.2987482
   23.887,     7.887,     0.000, 0.2989669
   23.500,     7.113,     0.000, 0.2985295
   23.500,     7.500,     0.000, 0.2987482
   23.500,     7.887,     0.000, 0.2989669
   23.113,     7.113,     0.000, 0.2985295
   23.113,     7.500,     0.000, 0.2987482
   23.113,     7.887,     0.000, 0.2989669
   23.887,     8.113,     0.000, 0.2990716
   23.887,     8.500,     0.000, 0.2992128
   23.887,     8.887,     0.000, 0.2993539
   23.500,     8.113,     0.000, 0.2990716
   23.500,     8.500,     0.000, 0.2992128
   23.500,     8.887,     0.000, 0.2993539
   23.113,     8.113,     0.000, 0.2990716
   23.113,     8.500,     0.000, 0.2992128
   23.113,     8.887,     0.000, 0.2993539
   23.887,     9.113,     0.000, 0.2994210
   23.887,     9.500,     0.000, 0.2995105
   23.887,     9.887,     0.000, 0.2996000
   23.500,     9.113,     0.000, 0.2994210
   23.500,     9.500,     0.000, 0.2995105
   23.500,     9.887,     0.000, 0.2996000
   23.113,     9.113,     0.000, 0.2994210
   23.113,     9.500,     0.000, 0.2995105
   23.113,     9.887,     0.000, 0.2996000
   23.887,    10.113,     0.000, 0.2996422
   23.887,    10.500,     0.000, 0.2996980
   23.887,    10.887,     0.000, 0.2997537
   23.500,    10.113,     0.000, 0.2996422
   23.500,    10.500,     0.000, 0.2996980
   23.500,    10.887,     0.000, 0.2997537
   23.113,    10.113,     0.000, 0.2996422
   23.113,    10.500,     0.000, 0.2996980
   23.113,    10.887,     0.000, 0.2997537
   23.887,    11.113,     0.000, 0.2997799
   23.887,    11.500,     0.000, 0.2998141
   23.887,    11.887,     0.000, 0.2998483
   23.500,    11.113,     0.000, 0.2997799
   23.500,    11.500,     0.000, 0.2998141
   23.500,    11.887,     0.000, 0.2998483
   23.113,    11.113,     0.000, 0.2997799
   23.113,    11.500,     0.000, 0.2998141
   23.113,    11.887,     0.000, 0.2998483
   23.887,    12.113,     0.000, 0.2998643
   23.887,    12.500,     0.000, 0.2998849
   23.887,    12.887,     0.000, 0.2999057
   23.500,    12.113,     0.000, 0.2998643
   23.500,    12.500,     0.000, 0.2998849
   23.500,    12.887,     0.000, 0.2999057
   23.113,    12.113,     0.000, 0.2998643
   23.113,    12.500,     0.000, 0.2998849
   23.113,    12.887,     0.000, 0.2999057
   23.887,    13.113,     0.000, 0.2999153
   23.887,    13.500,     0.000, 0.2999277
   23.887,    13.887,     0.000, 0.2999400
   23.500,    13.113,     0.000, 0.2999153
   23.500,    13.500,     0.000, 0.2999277
   23.500,    13.887,     0.000, 0.2999400
   23.113,    13.113,     0.000, 0.2999153
   23.113,    13.500,     0.000, 0.2999277
   23.113,    13.887,     0.000, 0.2999400
   23.887,    14.113,     0.000, 0.2999457
   23.887,    14.500,     0.000, 0.2999531
   23.887,    14.887,     0.000, 0.2999604
   23.500,    14.113,     0.000, 0.2999457
   23.500,    14.500,     0.000, 0.2999531
   23.500,    14.887,     0.000, 0.2999604
   23.113,    14.113,     0.000, 0.2999457
   23.113,    14.500,     0.000, 0.2999531
   23.113,    14.887,     0.000, 0.2999604
   23.887,    15.113,     0.000, 0.2999638
   23.887,    15.500,     0.000, 0.2999681
   23.887,    15.887,     0.000, 0.2999724
   23.500,    15.113,     0.000, 0.2999638
   23.500,    15.500,     0.000, 0.2999681
   23.500,    15.887,     0.000, 0.2999724
   23.113,    15.113,     0.000, 0.2999638
   23.113,    15.500,     0.000, 0.2999681
   23.113,    15.887,     0.000, 0.2999724
   23.887,    16.113,     0.000, 0.2999744
   23.887,    16.500,     0.000, 0.2999769
   23.887,    16.887,     0.000, 0.2999794
   23.500,    16.113,     0.000, 0.2999744
   23.500,    16.500,     0.000, 0.2999769
   23.500,    16.887,     0.000, 0.2999794
   23.113,    16.113,     0.000, 0.2999744
   23.113,    16.500,     0.000, 0.2999769
   23.113,    16.887,     0.000, 0.2999794
   23.887,    17.113,     0.000, 0.2999806
   23.887,    17.500,     0.000, 0.2999821
