x, y, z, porePressure
   24.113,    24.887,     0.000,    246355.81
   23.887,     0.113,     0.000,    489394.41
   23.887,     0.500,     0.000,    485595.06
   23.887,     0.887,     0.000,    481795.69
   23.500,     0.113,     0.000,    489394.41
   23.500,     0.500,     0.000,    485595.06
   23.500,     0.887,     0.000,    481795.69
   23.113,     0.113,     0.000,    489394.41
   23.113,     0.500,     0.000,    485595.06
   23.113,     0.887,     0.000,    481795.69
   23.887,     1.113,     0.000,    479584.50
   23.887,     1.500,     0.000,    475785.16
   23.887,     1.887,     0.000,    471985.81
   23.500,     1.113,     0.000,    479584.50
   23.500,     1.500,     0.000,    475785.16
   23.500,     1.887,     0.000,    471985.81
   23.113,     1.113,     0.000,    479584.50
   23.113,     1.500,     0.000,    475785.16
   23.113,     1.887,     0.000,    471985.81
   23.887,     2.113,     0.000,    469774.62
   23.887,     2.500,     0.000,    465975.25
   23.887,     2.887,     0.000,    462175.88
   23.500,     2.113,     0.000,    469774.62
   23.500,     2.500,     0.000,    465975.25
   23.500,     2.887,     0.000,    462175.88
   23.113,     2.113,     0.000,    469774.62
   23.113,     2.500,     0.000,    465975.25
   23.113,     2.887,     0.000,    462175.88
   23.887,     3.113,     0.000,    459964.69
   23.887,     3.500,     0.000,    456165.31
   23.887,     3.887,     0.000,    452365.97
   23.500,     3.113,     0.000,    459964.69
   23.500,     3.500,     0.000,    456165.31
   23.500,     3.887,     0.000,    452365.97
   23.113,     3.113,     0.000,    459964.69
   23.113,     3.500,     0.000,    456165.31
   23.113,     3.887,     0.000,    452365.97
   23.887,     4.113,     0.000,    450154.78
   23.887,     4.500,     0.000,    446355.38
   23.887,     4.887,     0.000,    442556.00
   23.500,     4.113,     0.000,    450154.78
   23.500,     4.500,     0.000,    446355.38
   23.500,     4.887,     0.000,    442556.00
   23.113,     4.113,     0.000,    450154.78
   23.113,     4.500,     0.000,    446355.38
   23.113,     4.887,     0.000,    442556.00
   23.887,     5.113,     0.000,    440344.81
   23.887,     5.500,     0.000,    436545.44
   23.887,     5.887,     0.000,    432746.06
   23.500,     5.113,     0.000,    440344.81
   23.500,     5.500,     0.000,    436545.44
   23.500,     5.887,     0.000,    432746.06
   23.113,     5.113,     0.000,    440344.81
   23.113,     5.500,     0.000,    436545.44
   23.113,     5.887,     0.000,    432746.06
   23.887,     6.113,     0.000,    430534.84
   23.887,     6.500,     0.000,    426735.47
   23.887,     6.887,     0.000,    422936.06
   23.500,     6.113,     0.000,    430534.84
   23.500,     6.500,     0.000,    426735.47
   23.500,     6.887,     0.000,    422936.06
   23.113,     6.113,     0.000,    430534.84
   23.113,     6.500,     0.000,    426735.47
   23.113,     6.887,     0.000,    422936.06
   23.887,     7.113,     0.000,    420724.88
   23.887,     7.500,     0.000,    416925.47
   23.887,     7.887,     0.000,    413126.09
   23.500,     7.113,     0.000,    420724.88
   23.500,     7.500,     0.000,    416925.47
   23.500,     7.887,     0.000,    413126.09
   23.113,     7.113,     0.000,    420724.88
   23.113,     7.500,     0.000,    416925.47
   23.113,     7.887,     0.000,    413126.09
   23.887,     8.113,     0.000,    410914.88
   23.887,     8.500,     0.000,    407115.50
   23.887,     8.887,     0.000,    403316.09
   23.500,     8.113,     0.000,    410914.88
   23.500,     8.500,     0.000,    407115.50
   23.500,     8.887,     0.000,    403316.09
   23.113,     8.113,     0.000,    410914.88
   23.113,     8.500,     0.000,    407115.50
   23.113,     8.887,     0.000,    403316.09
   23.887,     9.113,     0.000,    401104.88
   23.887,     9.500,     0.000,    397305.47
   23.887,     9.887,     0.000,    393506.09
   23.500,     9.113,     0.000,    401104.88
   23.500,     9.500,     0.000,    397305.47
   23.500,     9.887,     0.000,    393506.09
   23.113,     9.113,     0.000,    401104.88
   23.113,     9.500,     0.000,    397305.47
   23.113,     9.887,     0.000,    393506.09
   23.887,    10.113,     0.000,    391294.88
   23.887,    10.500,     0.000,    387495.47
   23.887,    10.887,     0.000,    383696.06
   23.500,    10.113,     0.000,    391294.88
   23.500,    10.500,     0.000,    387495.47
   23.500,    10.887,     0.000,    383696.06
   23.113,    10.113,     0.000,    391294.88
   23.113,    10.500,     0.000,    387495.47
   23.113,    10.887,     0.000,    383696.06
   23.887,    11.113,     0.000,    381484.88
   23.887,    11.500,     0.000,    377685.47
   23.887,    11.887,     0.000,    373886.06
   23.500,    11.113,     0.000,    381484.88
   23.500,    11.500,     0.000,    377685.47
   23.500,    11.887,     0.000,    373886.06
   23.113,    11.113,     0.000,    381484.88
   23.113,    11.500,     0.000,    377685.47
   23.113,    11.887,     0.000,    373886.06
   23.887,    12.113,     0.000,    371674.84
   23.887,    12.500,     0.000,    367875.44
   23.887,    12.887,     0.000,    364076.03
   23.500,    12.113,     0.000,    371674.84
   23.500,    12.500,     0.000,    367875.44
   23.500,    12.887,     0.000,    364076.03
   23.113,    12.113,     0.000,    371674.84
